2025-04-25 16:33:33 | INFO | GUI | Started APP
2025-04-25 16:33:33 | INFO | GUI | Starting RabbidMQ Consumer
2025-04-25 16:33:33 | INFO | GUI | Starting RabbitMQ listener for message queue: dhcp_server...
2025-04-25 16:33:33 | INFO | GUI | RabbitMQ listeners app_gui thread started.
2025-04-25 16:33:33 | INFO | GUI | Starting RabbitMQ listener for message queue: dns_server...
2025-04-25 16:33:33 | INFO | GUI | RabbitMQ listeners app_gui thread started.
2025-04-25 16:33:33 | INFO | MAIN | Starting MAIN
2025-04-25 16:33:33 | INFO | MAIN | Starting DCHP Server
2025-04-25 16:33:33 | INFO | DHCP | Initialized
2025-04-25 16:33:33 | INFO | MAIN | Starting DNS Server
2025-04-25 16:33:33 | INFO | MAIN | Starting GUI
2025-04-25 16:33:33 | INFO | DNS | Starting at IFACE:enp2s0 MAC:18:c0:4d:46:f4:11 IP:192.168.20.100 PORT:53
2025-04-25 16:33:33 | DEBUG | DNS | Deleting DNS DB files ...
2025-04-25 16:33:33 | DEBUG | DNS | /projects/gitlab/netarchon/db/dns.sqlite3-wal deleted.
2025-04-25 16:33:33 | DEBUG | DNS | /projects/gitlab/netarchon/db/dns.sqlite3 deleted.
2025-04-25 16:33:33 | DEBUG | DNS | /projects/gitlab/netarchon/db/dns.sqlite3-shm deleted.
2025-04-25 16:33:33 | DEBUG | DHCP | SQLite database for leases initialized.
2025-04-25 16:33:33 | INFO | DHCP | Serving from:192.168.20.100, 255.255.255.0, 18:c0:4d:46:f4:11
2025-04-25 16:33:33 | INFO | DHCP | Started
2025-04-25 16:33:33 | DEBUG | DNS | queue_worker_0 started
2025-04-25 16:33:33 | DEBUG | DNS | queue_worker_1 started
2025-04-25 16:33:33 | DEBUG | DNS | queue_worker_2 started
2025-04-25 16:33:33 | DEBUG | DNS | queue_worker_3 started
2025-04-25 16:33:33 | DEBUG | DNS | queue_worker_4 started
2025-04-25 16:33:33 | INFO | DNS | Service started
2025-04-25 16:34:06 | DEBUG | DNS | adding to negative cache b'mask.icloud.com.'
2025-04-25 16:34:06 | WARNING | DNS | [DNSQUERY] b'mask.icloud.com.' rcode:3
2025-04-25 16:34:06 | DEBUG | DNS | adding to negative cache b'mask-h2.icloud.com.'
2025-04-25 16:34:06 | WARNING | DNS | [DNSQUERY] b'mask-h2.icloud.com.' rcode:3
